start something,[-1.26653782]
that to,[ 0.06187881]
a keyboard,[ 0.06192221]
but only,[ 0.06192221]
keyboard i,[ 0.06192221]
true but,[ 0.06192221]
always the,[ 0.0619492]
50,[ 0.06198485]
came by,[ 0.06202512]
just came,[ 0.06202512]
levy just,[ 0.06202512]
actual,[ 0.06211213]
actual computer,[ 0.06211213]
computer though,[ 0.06211213]
the actual,[ 0.06211213]
a knife,[ 0.06220443]
apparently he,[ 0.06220443]
around because,[ 0.06220443]
carries,[ 0.06220443]
carries a,[ 0.06220443]
he carries,[ 0.06220443]
he consider,[ 0.06220443]
knife,[ 0.06220443]
knife around,[ 0.06220443]
start apparently,[ 0.06220443]
early on,[ 0.06224306]
get up,[ 0.06224306]
same here,[ 0.06224306]
this early,[ 0.06224306]
up this,[ 0.06224306]
the very,[ 0.06225908]
luck,[ 0.06234459]
competition this,[ 0.06241195]
enough how,[ 0.06241195]
my competition,[ 0.06241195]
center of,[ 0.06255643]
meant never,[ 0.06255643]
mind in,[ 0.06255643]
the center,[ 0.06255643]
this town,[ 0.06255643]
town the,[ 0.06255643]
not 22,[ 0.06256924]
old as,[ 0.06256924]
no was,[ 0.06264502]
or screw,[ 0.06266972]
screw,[ 0.06266972]
screw you,[ 0.06266972]
you zeno,[ 0.06266972]
zeno how,[ 0.06266972]
some sort,[ 0.06269226]
sit,[ 0.06272497]
was being,[ 0.06277972]
bit ofa,[ 0.06281483]
false start,[ 0.06281483]
ofa,[ 0.06281483]
ofa false,[ 0.06281483]
start bit,[ 0.06281483]
interesting maybe,[ 0.06286632]
ll check,[ 0.06286632]
but sometimes,[ 0.0629022]
am european,[ 0.06290899]
australia is,[ 0.06290899]
european and,[ 0.06290899]
me australia,[ 0.06290899]
too f,[ 0.06290899]
greek end,[ 0.06291529]
italian greek,[ 0.06291529]
those italian,[ 0.06291529]
guess a,[ 0.06294799]
ny a,[ 0.06294799]
of upstate,[ 0.06294799]
upstate ny,[ 0.06294799]
weird combination,[ 0.06294799]
the sun,[ 0.06294874]
at th,[ 0.062967]
particular do,[ 0.062967]
what in,[ 0.062967]
tv it,[ 0.06298452]
on star,[ 0.06305366]
s all,[ 0.0630867]
bet i,[ 0.06310717]
least two,[ 0.06310717]
two but,[ 0.06310717]
given that,[ 0.06313596]
with her,[ 0.06317839]
several,[ 0.06324598]
sentence,[ 0.06325624]
asked and,[ 0.06333664]
big supporter,[ 0.06333664]
of bletchley,[ 0.06333664]
supporter,[ 0.06333664]
supporter of,[ 0.06333664]
and which,[ 0.06334855]
territory do,[ 0.06334855]
which territory,[ 0.06334855]
work or,[ 0.06334855]
use the,[ 0.06335082]
a sci,[ 0.06338357]
fi novel,[ 0.06338357]
m working,[ 0.06338357]
novel end,[ 0.06338357]
short fiction,[ 0.06338357]
4th,[ 0.06341404]
faculty,[ 0.06342674]
faculty end,[ 0.06342674]
few of,[ 0.06342674]
local faculty,[ 0.06342674]
only know,[ 0.06342674]
the local,[ 0.06342674]
having this,[ 0.06345425]
mean not,[ 0.06345425]
am just,[ 0.06347427]
halloween holiday,[ 0.06351624]
holiday ye,[ 0.06351624]
the halloween,[ 0.06351624]
was written,[ 0.06351624]
written close,[ 0.06351624]
and live,[ 0.06357501]
back and,[ 0.06357501]
long sometimes,[ 0.06357501]
peru to,[ 0.06357501]
sometimes to,[ 0.06357501]
you long,[ 0.06357501]
love with,[ 0.06359145]
were just,[ 0.06360433]
polish,[ 0.06365804]
compelling,[ 0.06368514]
compelling urge,[ 0.06368514]
some compelling,[ 0.06368514]
things if,[ 0.06368514]
urge to,[ 0.06368514]
such a,[ 0.06371987]
haha i,[ 0.06386488]
eleven end,[ 0.0639218]
a mons,[ 0.06393717]
attacked,[ 0.06393717]
attacked by,[ 0.06393717]
couples,[ 0.06393717]
couples in,[ 0.06393717]
it who,[ 0.06393717]
mons,[ 0.06393717]
two couples,[ 0.06393717]
were attacked,[ 0.06393717]
were two,[ 0.06393717]
a bomb,[ 0.06396002]
bomb,[ 0.06396002]
and excuse,[ 0.06400616]
excuse any,[ 0.06400616]
all walks,[ 0.0640359]
walks of,[ 0.0640359]
asking it,[ 0.06408109]
so stop,[ 0.06408109]
stop asking,[ 0.06408109]
stupid question,[ 0.06408109]
anything els,[ 0.064106]
els,[ 0.064106]
too m,[ 0.06415861]
thi,[ 0.06416152]
back to,[ 0.06416603]
s change,[ 0.06422855]
them i,[ 0.06424434]
would never,[ 0.06425418]
should i,[ 0.06425614]
general end,[ 0.06427248]
regularly,[ 0.06430372]
regularly use,[ 0.06430372]
t regularly,[ 0.06430372]
word cool,[ 0.06430372]
asl,[ 0.06439058]
asl long,[ 0.06439058]
can reasonably,[ 0.06439058]
reasonably,[ 0.06439058]
reasonably complain,[ 0.06439058]
well asl,[ 0.06439058]
called i,[ 0.06440809]
voting for,[ 0.06448289]
a famous,[ 0.06452725]
and preparing,[ 0.06468896]
book proposal,[ 0.06468896]
for various,[ 0.06468896]
magazines and,[ 0.06468896]
preparing a,[ 0.06468896]
proposal e,[ 0.06468896]
various magazines,[ 0.06468896]
future in,[ 0.06471089]
in so,[ 0.06471089]
shaped,[ 0.06471089]
shaped the,[ 0.06471089]
turing shaped,[ 0.06471089]
yes turing,[ 0.06471089]
disease,[ 0.06484248]
and young,[ 0.06485377]
moldable,[ 0.06485377]
moldable so,[ 0.06485377]
so moldable,[ 0.06485377]
young so,[ 0.06485377]
was pleasure,[ 0.06485424]
health,[ 0.06488211]
great team,[ 0.06496352]
habs,[ 0.06496352]
habs were,[ 0.06496352]
once too,[ 0.06496352]
team once,[ 0.06496352]
the habs,[ 0.06496352]
ask what,[ 0.0649793]
put,[ 0.06509636]
ask both,[ 0.06514856]
both people,[ 0.06514856]
probably ask,[ 0.06514856]
couple episodes,[ 0.06515344]
episodes,[ 0.06515344]
episodes end,[ 0.06515344]
i but,[ 0.06515344]
neither do,[ 0.06515344]
circuit or,[ 0.06522049]
or reading,[ 0.06522049]
or short,[ 0.06522049]
reading ra,[ 0.06522049]
seen star,[ 0.06522049]
start haven,[ 0.06522049]
trek or,[ 0.06522049]
asking,[ 0.06523949]
looking for,[ 0.0652701]
all part,[ 0.06527169]
likely all,[ 0.06527169]
my plan,[ 0.06527169]
very likely,[ 0.06527169]
a co,[ 0.06541676]
ll spend,[ 0.06541676]
london for,[ 0.06541676]
then go,[ 0.06541676]
week here,[ 0.06541676]
zeus,[ 0.06542942]
comp,[ 0.06555417]
comp s,[ 0.06555417]
conversation so,[ 0.06555417]
s conversation,[ 0.06555417]
take on,[ 0.06555417]
the comp,[ 0.06555417]
your take,[ 0.06555417]
yesterday end,[ 0.0655854]
shopping end,[ 0.06568147]
start know,[ 0.0657137]
i voted,[ 0.0657278]
labour,[ 0.0657278]
labour last,[ 0.0657278]
lesser,[ 0.0657278]
lesser of,[ 0.0657278]
new labour,[ 0.0657278]
time lesser,[ 0.0657278]
two evil,[ 0.0657278]
voted,[ 0.0657278]
voted new,[ 0.0657278]
arise,[ 0.06580909]
can handle,[ 0.06580909]
handle myself,[ 0.06580909]
myself if,[ 0.06580909]
should arise,[ 0.06580909]
about some,[ 0.06581381]
actually one,[ 0.065818]
few non,[ 0.065818]
non preesenters,[ 0.065818]
preesenters,[ 0.065818]
preesenters her,[ 0.065818]
the few,[ 0.065818]
aatheis,[ 0.06593813]
aatheis new,[ 0.06593813]
astartup,[ 0.06593813]
astartup beer,[ 0.06593813]
beer company,[ 0.06593813]
called dalton,[ 0.06593813]
comm t,[ 0.06593813]
company called,[ 0.06593813]
dalton,[ 0.06593813]
dalton comm,[ 0.06593813]
new astartup,[ 0.06593813]
start aatheis,[ 0.06593813]
first round,[ 0.06606735]
prize my,[ 0.06606735]
the machine,[ 0.06621193]
very sad,[ 0.0663363]
bother with,[ 0.06638514]
but their,[ 0.06638514]
etc we,[ 0.06638514]
underwriters,[ 0.06638514]
underwriters etc,[ 0.06638514]
with underwriters,[ 0.06638514]
cave,[ 0.06640113]
leave the,[ 0.06640338]
they convince,[ 0.06649378]
anne,[ 0.06654299]
anne r,[ 0.06654299]
by anne,[ 0.06654299]
novel by,[ 0.06654299]
start interview,[ 0.06654299]
the novel,[ 0.06654299]
the vampire,[ 0.06654299]
vampire,[ 0.06654299]
vampire based,[ 0.06654299]
complicated,[ 0.06659829]
you that,[ 0.06670657]
a nazi,[ 0.06676892]
nazi,[ 0.06676892]
nee,[ 0.06680655]
hav,[ 0.06680658]
and being,[ 0.06687356]
being ineter,[ 0.06687356]
conversation means,[ 0.06687356]
ineter,[ 0.06687356]
me conversation,[ 0.06687356]
means understanding,[ 0.06687356]
understanding,[ 0.06687356]
understanding and,[ 0.06687356]
alas,[ 0.06703876]
alas it,[ 0.06703876]
and leans,[ 0.06703876]
leans,[ 0.06703876]
leans more,[ 0.06703876]
more towa,[ 0.06703876]
nature and,[ 0.06703876]
seems part,[ 0.06703876]
start alas,[ 0.06703876]
towa,[ 0.06703876]
cannot be,[ 0.06718095]
adult,[ 0.06721148]
edinburgh,[ 0.06730922]
edinburgh but,[ 0.06730922]
in edinburgh,[ 0.06730922]
to st,[ 0.06730922]
were meant,[ 0.06730922]
out time,[ 0.06731434]
biking,[ 0.06735486]
biking too,[ 0.06735486]
could bking,[ 0.06735486]
could hav,[ 0.06735486]
ebeen,[ 0.06735486]
ebeen biking,[ 0.06735486]
hav ebeen,[ 0.06735486]
know e,[ 0.06735486]
start bking,[ 0.06735486]
too you,[ 0.06735486]
anyway about,[ 0.0673958]
play what,[ 0.0673958]
plo,[ 0.0673958]
the play,[ 0.0673958]
the plo,[ 0.0673958]
the themes,[ 0.0673958]
themes,[ 0.0673958]
themes or,[ 0.0673958]
1 train,[ 0.06742169]
59th,[ 0.06742169]
59th str,[ 0.06742169]
a and,[ 0.06742169]
and c,[ 0.06742169]
at 59th,[ 0.06742169]
c trains,[ 0.06742169]
connects,[ 0.06742169]
connects with,[ 0.06742169]
the a,[ 0.06742169]
train connects,[ 0.06742169]
trains,[ 0.06742169]
trains at,[ 0.06742169]
should go,[ 0.06748483]
fiction children,[ 0.06751902]
s stories,[ 0.06751902]
start science,[ 0.06751902]
stories that,[ 0.06751902]
are not,[ 0.06755834]
and probably,[ 0.0676874]
leg,[ 0.0676874]
leg muscles,[ 0.0676874]
probably leg,[ 0.0676874]
how much,[ 0.0677828]
tired,[ 0.06780692]
but yes,[ 0.0678243]
in other,[ 0.0678243]
other ways,[ 0.0678243]
yes in,[ 0.0678243]
programs,[ 0.06785979]
any ph,[ 0.0679244]
been instructed,[ 0.0679244]
instructed,[ 0.0679244]
instructed not,[ 0.0679244]
no thank,[ 0.0679244]
ph,[ 0.0679244]
reveal any,[ 0.0679244]
but isn,[ 0.06801086]
fun this,[ 0.06801086]
life more,[ 0.06801086]
t life,[ 0.06801086]
be i,[ 0.06805074]
chatbots,[ 0.06805074]
chatbots are,[ 0.06805074]
if these,[ 0.06805074]
these chatbots,[ 0.06805074]
coverage there,[ 0.06806444]
media coverage,[ 0.06806444]
much media,[ 0.06806444]
surprised how,[ 0.06806444]
this m,[ 0.06806444]
was this,[ 0.06806444]
bit techy,[ 0.06807291]
interested i,[ 0.06807291]
more interested,[ 0.06807291]
sounds a,[ 0.06807291]
techy,[ 0.06807291]
techy but,[ 0.06807291]
be anyway,[ 0.06815912]
boston,[ 0.06817091]
to sit,[ 0.06821073]
back but,[ 0.0682285]
declare,[ 0.0682285]
declare fi,[ 0.0682285]
to declare,[ 0.0682285]
well we,[ 0.0682285]
besides,[ 0.06830563]
besides this,[ 0.06830563]
start besides,[ 0.06830563]
one how,[ 0.06831837]
evening end,[ 0.06838749]
good evening,[ 0.06838749]
not know,[ 0.06840176]
cross a,[ 0.06852768]
t cross,[ 0.06852768]
to can,[ 0.06852768]
most end,[ 0.06852806]
contestant this,[ 0.0685373]
headache,[ 0.06857236]
hard question,[ 0.06859639]
and sampres,[ 0.06867317]
sampres was,[ 0.06867317]
was brilliant,[ 0.06867317]
asking abou,[ 0.06868484]
be govenor,[ 0.06868484]
been asking,[ 0.06868484]
govenor,[ 0.06868484]
govenor since,[ 0.06868484]
e street,[ 0.06870667]
street band,[ 0.06870667]
thought our,[ 0.06876598]
communication,[ 0.06878909]
communication i,[ 0.06878909]
means of,[ 0.06878909]
of communication,[ 0.06878909]
only by,[ 0.06878909]
this means,[ 0.06878909]
only have,[ 0.06879296]
interests end,[ 0.06882361]
ability of,[ 0.06883748]
confident,[ 0.06883748]
confident of,[ 0.06883748]
of compu,[ 0.06883748]
pretty confident,[ 0.06883748]
turing was,[ 0.06883748]
was pretty,[ 0.06883748]
well turing,[ 0.06883748]
book i,[ 0.06885293]
few kurbick,[ 0.06886763]
kubrick name,[ 0.06886763]
kurbick,[ 0.06886763]
kurbick movies,[ 0.06886763]
movies may,[ 0.06886763]
name a,[ 0.06886763]
t kubrick,[ 0.06886763]
no a,[ 0.06887526]
better get,[ 0.06891183]
i better,[ 0.06891183]
the smoked,[ 0.06891183]
shape,[ 0.06892567]
friendly are,[ 0.06893454]
in and,[ 0.0690994]
rad can,[ 0.06911354]
so b,[ 0.06911354]
i stopped,[ 0.06915634]
lame that,[ 0.06915634]
pretty lame,[ 0.06915634]
seemed pretty,[ 0.06915634]
stopped trying,[ 0.06915634]
bit weird,[ 0.06919891]
mistakes as,[ 0.06919891]
my mistakes,[ 0.06919891]
seeing all,[ 0.06919891]
type yo,[ 0.06919891]
weird you,[ 0.06919891]
you seeing,[ 0.06919891]
african,[ 0.06921792]
african american,[ 0.06921792]
american heritage,[ 0.06921792]
and art,[ 0.06921792]
art histo,[ 0.06921792]
heritage,[ 0.06921792]
heritage and,[ 0.06921792]
histo,[ 0.06921792]
of african,[ 0.06921792]
students of,[ 0.06921792]
well students,[ 0.06921792]
i left,[ 0.06936047]
left and,[ 0.06936047]
mathworks,[ 0.06936047]
mathworks end,[ 0.06936047]
now work,[ 0.06936047]
the mathworks,[ 0.06936047]
none,[ 0.06936116]
none of,[ 0.06936116]
flies,[ 0.06938365]
of fact,[ 0.06944132]
virtual,[ 0.06949811]
so not,[ 0.06950486]
and al,[ 0.06953739]
found some,[ 0.06953739]
great ones,[ 0.06953739]
in sale,[ 0.06953739]
manchester,[ 0.06953739]
manchester and,[ 0.06953739]
near manchester,[ 0.06953739]
ones in,[ 0.06953739]
sale,[ 0.06953739]
sale near,[ 0.06953739]
some great,[ 0.06953739]
interests,[ 0.06964002]
correctly en,[ 0.06964564]
if prepared,[ 0.06964564]
noodles are,[ 0.06964564]
prepared correctly,[ 0.06964564]
pretty tasty,[ 0.06964564]
tasty if,[ 0.06964564]
well noodles,[ 0.06964564]
almos,[ 0.06967003]
a space,[ 0.0697193]
down a,[ 0.0697193]
he who,[ 0.0697193]
moves,[ 0.0697193]
moves down,[ 0.0697193]
space means,[ 0.0697193]
type again,[ 0.0697193]
who moves,[ 0.0697193]
you some,[ 0.06975798]
data got,[ 0.06978368]
episode of,[ 0.06978368]
of star,[ 0.06978368]
that episode,[ 0.06978368]
trek where,[ 0.06978368]
where data,[ 0.06978368]
som,[ 0.06994749]
i hear,[ 0.0700278]
consequences,[ 0.07003643]
book on,[ 0.07006909]
guy who,[ 0.07006909]
that guy,[ 0.07006909]
whole book,[ 0.07006909]
to a,[ 0.07014476]
actually don,[ 0.07024239]
doi,[ 0.07024239]
for least,[ 0.07024239]
human actually,[ 0.07024239]
least human,[ 0.07024239]
m doi,[ 0.07024239]
boring though,[ 0.07025307]
for calling,[ 0.07025307]
m suppose,[ 0.07025307]
me boring,[ 0.07025307]
thats good,[ 0.0702599]
just stick,[ 0.07026962]
to doing,[ 0.07026962]
with friend,[ 0.07026962]
earlier in,[ 0.07050906]
should ask,[ 0.07050906]
something it,[ 0.07050906]
coudl,[ 0.07050919]
coudl be,[ 0.07050919]
that coudl,[ 0.07050919]
the ti,[ 0.07050919]
useful for,[ 0.07050919]
enjoy your,[ 0.07050926]
were supposed,[ 0.07061554]
a wor,[ 0.07070409]
ethical,[ 0.07070409]
ethical hacking,[ 0.07070409]
from underground,[ 0.07070409]
hacking thats,[ 0.07070409]
hacking to,[ 0.07070409]
to ethical,[ 0.07070409]
underground,[ 0.07070409]
underground hacking,[ 0.07070409]
drive because,[ 0.0707076]
more on,[ 0.0707076]
the drive,[ 0.0707076]
2009,[ 0.07074422]
2009 and,[ 0.07074422]
bot from,[ 0.07074422]
coming up,[ 0.07074422]
from 2009,[ 0.07074422]
the winning,[ 0.07074422]
up w,[ 0.07074422]
was coming,[ 0.07074422]
winning bot,[ 0.07074422]
like being,[ 0.07075087]
conversation was,[ 0.07080865]
honest this,[ 0.07080865]
inetersting,[ 0.07080865]
most inetersting,[ 0.07080865]
event in,[ 0.07084531]
in terms,[ 0.07084531]
of coverage,[ 0.07084531]
plans for,[ 0.07084531]
terms,[ 0.07084531]
terms of,[ 0.07084531]
haha thanks,[ 0.07087053]
lived in,[ 0.07092759]
re getting,[ 0.07100761]
got no,[ 0.07106315]
lot and,[ 0.07106315]
no positive,[ 0.07106315]
positive reinforcement,[ 0.07106315]
reinforcement,[ 0.07106315]
reinforcement from,[ 0.07106315]
pretty personal,[ 0.07117922]
think thats,[ 0.07117922]
a shame,[ 0.07128598]
shame,[ 0.07128598]
favorite things,[ 0.07137608]
reading used,[ 0.07137608]
clean it,[ 0.07150631]
right let,[ 0.07150631]
s clean,[ 0.07150631]
up how,[ 0.07150631]
just throw,[ 0.07152849]
postil,[ 0.07152849]
record then,[ 0.07152849]
then vanessa,[ 0.07152849]
this on,[ 0.07152849]
throw this,[ 0.07152849]
vanessa,[ 0.07152849]
vanessa postil,[ 0.07152849]
am open,[ 0.07157272]
blues fan,[ 0.07157272]
but am,[ 0.07157272]
conversi,[ 0.07157272]
huge blues,[ 0.07157272]
open to,[ 0.07157272]
religious conversi,[ 0.07157272]
might say,[ 0.07157418]
time it,[ 0.07159016]
and seafood,[ 0.07161932]
go well,[ 0.07161932]
seafood,[ 0.07161932]
seafood go,[ 0.07161932]
think milk,[ 0.07161932]
well so,[ 0.07163327]
of computer,[ 0.071667]
what other,[ 0.07176976]
9 stories,[ 0.07178125]
by j,[ 0.07178125]
d salinger,[ 0.07178125]
enjoy 9,[ 0.07178125]
j d,[ 0.07178125]
salinger,[ 0.07178125]
salinger end,[ 0.07178125]
stories by,[ 0.07178125]
i k,[ 0.07178915]
life as,[ 0.07178915]
own life,[ 0.07178915]
a clara,[ 0.07181033]
bow movie,[ 0.07181033]
movie i,[ 0.07181033]
also likes,[ 0.07190545]
and desperate,[ 0.07190545]
desperate housewifes,[ 0.07190545]
housewifes,[ 0.07190545]
housewifes end,[ 0.07190545]
likes the,[ 0.07190545]
office and,[ 0.07190545]
the office,[ 0.07190545]
prefer to,[ 0.07197697]
proposal,[ 0.07197785]
off,[ 0.07203732]
asked b,[ 0.07206061]
cabarettist,[ 0.07206061]
cabarettist or,[ 0.07206061]
famous french,[ 0.07206061]
french cabarettist,[ 0.07206061]
humorist was,[ 0.07206061]
or humorist,[ 0.07206061]
am on,[ 0.07215347]
and spelling,[ 0.07215347]
errors,[ 0.07215347]
errors i,[ 0.07215347]
few li,[ 0.07215347]
sloppy,[ 0.07215347]
sloppy typos,[ 0.07215347]
spelling errors,[ 0.07215347]
typos and,[ 0.07215347]
with sloppy,[ 0.07215347]
aol fan,[ 0.07217587]
arcade,[ 0.07217587]
arcade of,[ 0.07217587]
big aol,[ 0.07217587]
fan it,[ 0.07217587]
mall arcade,[ 0.07217587]
shopping mall,[ 0.07217587]
the shopping,[ 0.07217587]
let us,[ 0.07226837]
being burnt,[ 0.07229611]
burnt,[ 0.07229611]
burnt at,[ 0.07229611]
evil things,[ 0.07229611]
stake,[ 0.07229611]
stake though,[ 0.07229611]
such evil,[ 0.07229611]
the stake,[ 0.07229611]
things sh,[ 0.07229611]
though such,[ 0.07229611]
valley,[ 0.07237229]
nation,[ 0.07243222]
ask all,[ 0.07244201]
quiestions,[ 0.07244201]
the quiestions,[ 0.07244201]
a blue,[ 0.07251956]
it somehow,[ 0.07259508]
somehow doesn,[ 0.07259508]
about australians,[ 0.07264221]
australians living,[ 0.07264221]
britain,[ 0.07264221]
britain end,[ 0.07264221]
in britain,[ 0.07264221]
ok was,[ 0.07264221]
about thi,[ 0.07267067]
thats understandable,[ 0.07267067]
understandable but,[ 0.07267067]
a busy,[ 0.07267934]
for dif,[ 0.07270779]
possible that,[ 0.07270779]
things for,[ 0.07270779]
men can,[ 0.07275545]
forgotten a,[ 0.07288143]
just forgotten,[ 0.07288143]
like r,[ 0.07288143]
nice safe,[ 0.07288143]
one and,[ 0.07288143]
safe one,[ 0.07288143]
ve just,[ 0.07288143]
fine machines,[ 0.07292965]
were fine,[ 0.07292965]
a betting,[ 0.07295936]
betting,[ 0.07295936]
betting person,[ 0.07295936]
ha i,[ 0.07295936]
cause it,[ 0.07305644]
google score,[ 0.07305644]
high google,[ 0.07305644]
score right,[ 0.07305644]
thats cause,[ 0.07305644]
basically,[ 0.07308464]
hall in,[ 0.07310508]
in l,[ 0.07310508]
thanks actually,[ 0.07310508]
town hall,[ 0.07310508]
be possible,[ 0.07314055]
my father,[ 0.07321241]
likely that,[ 0.07334022]
who do,[ 0.07338087]
lot is,[ 0.07338715]
bayern,[ 0.07362972]
bayern munich,[ 0.07362972]
kid but,[ 0.07362972]
munich,[ 0.07362972]
munich when,[ 0.07362972]
support bayern,[ 0.07362972]
to support,[ 0.07362972]
as human,[ 0.07366045]
be st,[ 0.07366045]
of as,[ 0.07366045]
a specific,[ 0.07367612]
hmm depends,[ 0.07376346]
on for,[ 0.07376346]
purpose you,[ 0.07376346]
what purpose,[ 0.07376346]
or this,[ 0.07378501]
be right,[ 0.07384618]
gramm,[ 0.07386903]
never really,[ 0.07390855]
you want,[ 0.07395197]
abil,[ 0.07396235]
my abil,[ 0.07396235]
or my,[ 0.07396235]
senses or,[ 0.07396235]
by work,[ 0.07402666]
paid,[ 0.07402666]
paid what,[ 0.07402666]
what pays,[ 0.07402666]
work paid,[ 0.07402666]
other program,[ 0.07406263]
program doing,[ 0.07406263]
but those,[ 0.07411385]
do seem,[ 0.07411385]
gotten that,[ 0.07411385]
noth,[ 0.07411385]
show but,[ 0.07411385]
start gotten,[ 0.07411385]
that show,[ 0.07411385]
watch noth,[ 0.07411385]
fine end,[ 0.0741173]
by snacks,[ 0.07412535]
chocolate ice,[ 0.07412535]
cream end,[ 0.07412535]
ice cream,[ 0.07412535]
snacks,[ 0.07412535]
snacks i,[ 0.07412535]
supposed to,[ 0.0741543]
mean it,[ 0.074252]
created since,[ 0.07425804]
everything created,[ 0.07425804]
hate everything,[ 0.07425804]
middle of,[ 0.07425804]
of 2th,[ 0.07425804]
since the,[ 0.07425804]
the middle,[ 0.07425804]
bad the,[ 0.07429988]
died yet,[ 0.07429988]
dinosaurs hadnt,[ 0.07429988]
hadnt,[ 0.07429988]
hadnt died,[ 0.07429988]
the dinosaurs,[ 0.07429988]
yet it,[ 0.07429988]
bit slow,[ 0.07430099]
ight,[ 0.07430099]
ight be,[ 0.07430099]
m ight,[ 0.07430099]
no so,[ 0.07430099]
slow end,[ 0.07430099]
others end,[ 0.07442199]
saw i,[ 0.07443577]
t withdraw,[ 0.07443577]
withdraw,[ 0.07443577]
withdraw that,[ 0.07443577]
and do,[ 0.07443805]
fal,[ 0.07445226]
fragrant,[ 0.07445226]
fragrant and,[ 0.07445226]
it fal,[ 0.07445226]
often smells,[ 0.07445226]
pleasant if,[ 0.07445226]
quite pleasant,[ 0.07445226]
smells,[ 0.07445226]
smells fragrant,[ 0.07445226]
here act,[ 0.0745024]
hosting,[ 0.0745024]
hosting this,[ 0.0745024]
m surprised,[ 0.0745024]
re hosting,[ 0.0745024]
surprised we,[ 0.0745024]
this sort,[ 0.0745024]
whereever,[ 0.07451239]
air when,[ 0.07451315]
bel,[ 0.07451315]
bel air,[ 0.07451315]
fresh,[ 0.07451315]
fresh prince,[ 0.07451315]
in bel,[ 0.07451315]
prince,[ 0.07451315]
prince in,[ 0.07451315]
watch fresh,[ 0.07451315]
either of,[ 0.07455088]
seen either,[ 0.07455088]
didnt,[ 0.07455527]
i didnt,[ 0.07455527]
school just,[ 0.07461839]
a play,[ 0.07469762]
d prefer,[ 0.07469762]
from c,[ 0.07469762]
play i,[ 0.07469762]
prefer something,[ 0.07469762]
something from,[ 0.07469762]
out,[ 0.07478534]
already,[ 0.07486562]
galway,[ 0.07494115]
galway ireland,[ 0.07494115]
of galway,[ 0.07494115]
but got,[ 0.0750162]
got stuck,[ 0.0750162]
had tickets,[ 0.0750162]
past week,[ 0.0750162]
show this,[ 0.0750162]
this past,[ 0.0750162]
tickets to,[ 0.0750162]
week but,[ 0.0750162]
net,[ 0.07504901]
the net,[ 0.07504901]
this week,[ 0.07504952]
course the,[ 0.07522807]
dinosaurs were,[ 0.07524576]
granted,[ 0.07524576]
granted i,[ 0.07524576]
of dinosaurs,[ 0.07524576]
start granted,[ 0.07524576]
were around,[ 0.07524576]
to understand,[ 0.07525182]
good idea,[ 0.07526063]
a local,[ 0.07526267]
communist,[ 0.07526267]
communist officers,[ 0.07526267]
interrogate,[ 0.07526267]
interrogate a,[ 0.07526267]
local lord,[ 0.07526267]
lord trying,[ 0.07526267]
officers interrogate,[ 0.07526267]
trying t,[ 0.07526267]
two communist,[ 0.07526267]
gets very,[ 0.07532075]
hot up,[ 0.07532075]
yes sometimes,[ 0.07532075]
areas,[ 0.07534127]
areas of,[ 0.07534127]
of tech,[ 0.07534127]
tech do,[ 0.07534127]
what areas,[ 0.07534127]
rock teh,[ 0.07535076]
bureacracies,[ 0.07536102]
bureacracies as,[ 0.07536102]
gigantic,[ 0.07536102]
gigantic bureacracies,[ 0.07536102]
like gigantic,[ 0.07536102]
re like,[ 0.07536102]
he was,[ 0.07540651]
chinese might,[ 0.07541258]
good thug,[ 0.07541258]
indian chinese,[ 0.07541258]
of thai,[ 0.07541258]
or indian,[ 0.07541258]
thai or,[ 0.07541258]
thug,[ 0.07541258]
beer but,[ 0.07542124]
germany nice,[ 0.07542124]
nice beer,[ 0.07542124]
start germany,[ 0.07542124]
as long,[ 0.07545871]
childhoo,[ 0.07557275]
during my,[ 0.07557275]
favorites during,[ 0.07557275]
human childhoo,[ 0.07557275]
my favorites,[ 0.07557275]
my very,[ 0.07557275]
very human,[ 0.07557275]
good thing,[ 0.07564373]
chatting with,[ 0.07564493]
early to,[ 0.07566964]
got up,[ 0.07566964]
nothing got,[ 0.07566964]
too early,[ 0.07566964]
up too,[ 0.07566964]
watch bbc,[ 0.07566964]
i going,[ 0.07570204]
take all,[ 0.07570204]
the food,[ 0.07570204]
so my,[ 0.07578203]
a feather,[ 0.07583734]
birds of,[ 0.07583734]
feather,[ 0.07583734]
feather end,[ 0.07583734]
two birds,[ 0.07583734]
all look,[ 0.07586923]
and frizzly,[ 0.07586923]
frizzly,[ 0.07586923]
frizzly hair,[ 0.07586923]
grape,[ 0.07586923]
grape tits,[ 0.07586923]
hair all,[ 0.07586923]
look the,[ 0.07586923]
room with,[ 0.07586923]
start room,[ 0.07586923]
tits,[ 0.07586923]
tits and,[ 0.07586923]
with grape,[ 0.07586923]
bots have,[ 0.07589183]
have responded,[ 0.07589183]
how the,[ 0.07589183]
responded,[ 0.07589183]
responded to,[ 0.07589183]
are running,[ 0.07594278]
babies,[ 0.07594278]
babies get,[ 0.07594278]
eaten when,[ 0.07594278]
running tothe,[ 0.07594278]
sea th,[ 0.07594278]
the babies,[ 0.07594278]
tothe,[ 0.07594278]
tothe sea,[ 0.07594278]
am asked,[ 0.07597312]
a phd,[ 0.07602087]
phd so,[ 0.07602087]
probably be,[ 0.07602087]
should probably,[ 0.07602087]
so should,[ 0.07602087]
that r,[ 0.07602087]
